00012A	L	Telematica Sistems Inteligente
00012B	L	TELENET Co., Ltd.
00012C	L	Aravox Technologies, Inc.
00012D	L	Komodo Technology
00012E	L	PC Partner Ltd.
00012F	L	Twinhead International Corp
000130	L	Extreme Networks, Inc.
000131	L	Bosch Security Systems, Inc.
000132	L	Dranetz - BMI
000133	L	KYOWA Electronic Instruments C
000134	L	Selectron Systems AG
000135	L	KDC Corp.
000136	L	CyberTAN Technology Inc.
000137	L	IT Farm Corporation
000138	L	XAVi Technologies Corp.
000139	L	Point Multimedia Systems
00013A	L	SHELCAD COMMUNICATIONS, LTD.
00013B	L	BNA SYSTEMS
00013C	L	TIW SYSTEMS
00013D	L	RiscStation Ltd.
00013E	L	Ascom Tateco AB
00013F	L	Neighbor World Co., Ltd.
000140	L	Sendtek Corporation
000141	L	CABLE PRINT
000142	L	Cisco Systems, Inc
000143	L	Cisco Systems, Inc
000144	L	Dell EMC
000145	L	WINSYSTEMS, INC.
000146	L	Tesco Controls, Inc.
000147	L	Zhone Technologies, Inc.
000148	L	X-traWeb Inc.
000149	L	TDT AG
00014A	L	Sony Corporation
00014B	L	Ennovate Networks, Inc.
00014C	L	Berkeley Process Control
00014D	L	Shin Kin Enterprises Co., Ltd
00014E	L	WIN Enterprises, Inc.
00014F	L	Adtran Inc
000150	L	GILAT COMMUNICATIONS, LTD.
000151	L	Ensemble Communications
000152	L	CHROMATEK INC.
000153	L	ARCHTEK TELECOM CORPORATION
000154	L	G3M Corporation
000155	L	Promise Technology, Inc.
000156	L	FIREWIREDIRECT.COM, INC.
000157	L	SYSWAVE CO., LTD
000158	L	Electro Industries/Gauge Tech
000159	L	S1 Corporation
00015A	L	Digital Video Broadcasting
00015B	L	ITALTEL S.p.A/RF-UP-I
00015C	L	CADANT INC.
00015D	L	Oracle Corporation
00015E	L	BEST TECHNOLOGY CO., LTD.
00015F	L	DIGITAL DESIGN GmbH
000160	L	ELMEX Co., LTD.
000161	L	Meta Machine Technology
000162	L	Cygnet Technologies, Inc.
000163	L	Cisco Systems, Inc
000164	L	Cisco Systems, Inc
000165	L	AirSwitch Corporation
000166	L	TC GROUP A/S
000167	L	HIOKI E.E. CORPORATION
000168	L	VITANA CORPORATION
000169	L	Celestix Networks Pte Ltd.
00016A	L	ALITEC
00016B	L	LightChip, Inc.
00016C	L	FOXCONN
00016D	L	CarrierComm Inc.
00016E	L	Conklin Corporation
00016F	L	Inkel Corp.
000170	L	ESE Embedded System Engineer'g
000171	L	Allied Data Technologies
000172	L	TechnoLand Co., LTD.
000173	L	AMCC
000174	L	CyberOptics Corporation
000175	L	Radiant Communications Corp.
000176	L	Orient Silver Enterprises
000177	L	EDSL
000178	L	MARGI Systems, Inc.
000179	L	WIRELESS TECHNOLOGY, INC.
00017A	L	Chengdu Maipu Electric Industrial Co., Ltd.
00017B	L	Heidelberger Druckmaschinen AG
00017C	L	AG-E GmbH
00017D	L	ThermoQuest
00017E	L	ADTEK System Science Co., Ltd.
00017F	L	Experience Music Project
000180	L	AOpen, Inc.
000181	L	Nortel Networks
000182	L	DICA TECHNOLOGIES AG
000183	L	ANITE TELECOMS
000184	L	SIEB & MEYER AG
000185	L	Hitachi Aloka Medical, Ltd.
000186	L	Uwe Disch
000187	L	I2SE GmbH
000188	L	LXCO Technologies ag
000189	L	Refraction Technology, Inc.
00018A	L	ROI COMPUTER AG
00018B	L	NetLinks Co., Ltd.
00018C	L	Mega Vision
00018D	L	AudeSi Technologies
00018E	L	Logitec Corporation
00018F	L	Kenetec, Inc.
000190	L	SMK-M
000191	L	SYRED Data Systems
000192	L	Texas Digital Systems
000193	L	Hanbyul Telecom Co., Ltd.
000194	L	Capital Equipment Corporation
000195	L	Sena Technologies, Inc.
000196	L	Cisco Systems, Inc
000197	L	Cisco Systems, Inc
000198	L	Darim Vision
000199	L	HeiSei Electronics
00019A	L	LEUNIG GmbH
00019B	L	Kyoto Microcomputer Co., Ltd.
00019C	L	Lumentum
00019D	L	E-Control Systems, Inc.
00019E	L	ESS Technology, Inc.
00019F	L	ReadyNet
0001A0	L	Infinilink Corporation
0001A1	L	Mag-Tek, Inc.
0001A2	L	Logical Co., Ltd.
0001A3	L	GENESYS LOGIC, INC.
0001A4	L	Microlink Corporation
0001A5	L	Nextcomm, Inc.
0001A6	L	Scientific-Atlanta Arcodan A/S
0001A7	L	UNEX TECHNOLOGY CORPORATION
0001A8	L	Welltech Computer Co., Ltd.
0001A9	L	BMW AG
0001AA	L	Airspan Communications, Ltd.
0001AB	L	Main Street Networks
0001AC	L	Sitara Networks, Inc.
0001AD	L	Coach Master International d.b.a. CMI Worldwide, Inc.
0001AE	L	Trex Enterprises
0001AF	L	Artesyn Embedded Technologies
0001B0	L	Fulltek Technology Co., Ltd.
0001B1	L	General Bandwidth
0001B2	L	Digital Processing Systems, Inc.
0001B3	L	Precision Electronic Manufacturing
0001B4	L	Wayport, Inc.
0001B5	L	Turin Networks, Inc.
0001B6	L	SAEJIN T&M Co., Ltd.
0001B7	L	Centos, Inc.
0001B8	L	Netsensity, Inc.
0001B9	L	SKF (U.K.) Limited
0001BA	L	IC-Net, Inc.
0001BB	L	Frequentis
0001BC	L	Brains Corporation
0001BD	L	Peterson Electro-Musical Products, Inc.
0001BE	L	Gigalink Co., Ltd.
0001BF	L	Teleforce Co., Ltd.
0001C0	L	CompuLab, Ltd.
0001C1	L	Vitesse Semiconductor Corporation
0001C2	L	ARK Research Corp.
0001C3	L	Acromag, Inc.
0001C4	L	NeoWave, Inc.
0001C5	L	Simpler Networks
0001C6	L	Quarry Technologies
0001C7	L	Cisco Systems, Inc
0001C8	L	CONRAD CORP.
0001C9	L	Cisco Systems, Inc
0001CA	L	Geocast Network Systems, Inc.
0001CB	L	EVR
0001CC	L	Brand Maker Enabler Inc.
0001CD	L	ARtem
0001CE	L	Custom Micro Products, Ltd.
0001CF	L	Alpha Data Parallel Systems, Ltd.
0001D0	L	VitalPoint, Inc.
0001D1	L	CoNet Communications, Inc.
0001D2	L	inXtron, Inc.
0001D3	L	PAXCOMM, Inc.
0001D4	L	Leisure Time, Inc.
0001D5	L	HAEDONG INFO & COMM CO., LTD
0001D6	L	manroland AG
0001D7	L	F5 Inc.
0001D8	L	Teltronics, Inc.
0001D9	L	Sigma, Inc.
0001DA	L	WINCOMM Corporation
0001DB	L	Freecom Technologies GmbH
0001DC	L	Activetelco
0001DD	L	Avail Networks
0001DE	L	Trango Systems, Inc.
0001DF	L	ISDN Communications, Ltd.
0001E0	L	Fast Systems, Inc.
0001E1	L	Kinpo Electronics, Inc.
0001E2	L	Ando Electric Corporation
0001E3	L	Siemens AG
0001E4	L	Sitera, Inc.
0001E5	L	Supernet, Inc.
0001E6	L	Hewlett Packard
0001E7	L	Hewlett Packard
0001E8	L	Force10 Networks, Inc.
0001E9	L	Litton Marine Systems B.V.
0001EA	L	Cirilium Corp.
0001EB	L	C-COM Corporation
0001EC	L	Ericsson Group
0001ED	L	SETA Corp.
0001EE	L	Comtrol Europe, Ltd.
0001EF	L	Camtel Technology Corp.
0001F0	L	Tridium, Inc.
0001F1	L	Innovative Concepts, Inc.
0001F2	L	Mark of the Unicorn, Inc.
0001F3	L	QPS, Inc.
0001F4	L	Enterasys
0001F5	L	ERIM S.A.
0001F6	L	Association of Musical Electronics Industry
0001F7	L	Image Display Systems, Inc.
0001F8	L	TEXIO TECHNOLOGY CORPORATION
0001F9	L	TeraGlobal Communications Corp.
0001FA	L	HOROSCAS
0001FB	L	DoTop Technology, Inc.
0001FC	L	Keyence Corporation
0001FD	L	Digital Voice Systems, Inc.
0001FE	L	DIGITAL EQUIPMENT CORPORATION
0001FF	L	Data Direct Networks, Inc.
000200	L	Net & Sys Co., Ltd.
000201	L	IFM Electronic gmbh
000202	L	Amino Communications, Ltd.
000203	L	Woonsang Telecom, Inc.
000204	L	Bodmann Industries Elektronik GmbH
000205	L	Hitachi Denshi, Ltd.
000206	L	Telital R&D Denmark A/S
000207	L	VisionGlobal Network Corp.
000208	L	Unify Networks, Inc.
000209	L	Shenzhen SED Information Technology Co., Ltd.
00020A	L	Gefran Spa
00020B	L	Native Networks, Inc.
00020C	L	Metro-Optix
00020D	L	Micronpc.com
00020E	L	ECI Telecom Ltd.
00020F	L	AATR
000210	L	Fenecom
000211	L	Nature Worldwide Technology Corp.
000212	L	SierraCom
000213	L	S.D.E.L.
000214	L	DTVRO
000215	L	Cotas Computer Technology A/B
000216	L	Cisco Systems, Inc
000217	L	Cisco Systems, Inc
000218	L	Advanced Scientific Corp
000219	L	Paralon Technologies
00021A	L	Zuma Networks
00021B	L	Kollmorgen-Servotronix
00021C	L	Network Elements, Inc.
00021D	L	Data General Communication Ltd.
00021E	L	SIMTEL S.R.L.
00021F	L	Aculab PLC
000220	L	CANON FINETECH INC.
000221	L	DSP Application, Ltd.
000222	L	Chromisys, Inc.
000223	L	ClickTV
000224	L	C-COR
000225	L	One Stop Systems
000226	L	XESystems, Inc.
000227	L	ESD Electronic System Design GmbH
000228	L	Necsom, Ltd.
000229	L	Adtec Corporation
00022A	L	Asound Electronic
00022B	L	SAXA, Inc.
00022C	L	ABB Bomem, Inc.
00022D	L	Agere Systems
00022E	L	TEAC Corp. R& D
00022F	L	P-Cube, Ltd.
000230	L	Intersoft Electronics
000231	L	Ingersoll-Rand
000232	L	Avision, Inc.
000233	L	Mantra Communications, Inc.
000234	L	Imperial Technology, Inc.
000235	L	Paragon Networks International
000236	L	INIT GmbH
000237	L	Cosmo Research Corp.
000238	L	Serome Technology, Inc.
000239	L	Visicom
00023A	L	ZSK Stickmaschinen GmbH
00023B	L	Ericsson
00023C	L	Creative Technology, Ltd.
00023D	L	Cisco Systems, Inc
00023E	L	Selta Telematica S.p.a
